algorithm,domain,seed,target_acc,source_val,best_step,task_id
TRM,cartoon,100,0.7627986348122867,0.9705510412529558,500,final_TRM_e1_s100
TRM,cartoon,101,0.7977815699658704,0.9735820527198138,2000,final_TRM_e1_s101
TRM,cartoon,102,0.8421501706484642,0.9726741835034866,3000,final_TRM_e1_s102
TRM,photo,100,0.9682634730538923,0.9716325736243822,3000,final_TRM_e2_s100
TRM,photo,101,0.9724550898203593,0.9731940812368451,4000,final_TRM_e2_s101
TRM,photo,102,0.9766467065868264,0.9723926951980463,1500,final_TRM_e2_s102
TRM,sketch,100,0.7294476966149147,0.9783932750969337,500,final_TRM_e3_s100
TRM,sketch,101,0.7856961058793586,0.9771095178251525,2250,final_TRM_e3_s101
TRM,sketch,102,0.737592262662255,0.9789647816564643,1500,final_TRM_e3_s102
VREx,art_painting,100,0.87744140625,0.976144754423865,1750,final_VREx_e0_s100
VREx,art_painting,101,0.8505859375,0.9772618897432963,5000,final_VREx_e0_s101
VREx,art_painting,102,0.79443359375,0.9774242467213213,2750,final_VREx_e0_s102
VREx,cartoon,100,0.8472696245733788,0.9779301751875998,3500,final_VREx_e1_s100
VREx,cartoon,101,0.8242320819112628,0.9763930566288662,1500,final_VREx_e1_s101
VREx,cartoon,102,0.8156996587030717,0.974133815436419,3500,final_VREx_e1_s102
VREx,photo,100,0.9790419161676647,0.9695573022352647,750,final_VREx_e2_s100
VREx,photo,101,0.9808383233532935,0.9690163186861674,750,final_VREx_e2_s101
VREx,photo,102,0.9664670658682635,0.9749610792748475,3500,final_VREx_e2_s102
VREx,sketch,100,0.7783150928989565,0.978679028376699,2000,final_VREx_e3_s100
VREx,sketch,101,0.7538813947569356,0.9780470405186743,1250,final_VREx_e3_s101
VREx,sketch,102,0.6922881140239247,0.9824682547220357,500,final_VREx_e3_s102
